"Core.ID","treatment","carbon","Year","Depth..cm.","Dist..Spruce..m.","Dist..Tamarack..m.","Dist..Blueberry..m.","GWC","per..saturation","D1.CO2","D2.CO2","D3.CO2","D5.CO2","D1.13C.atom..","D2.13C.atom..","D3.13C.atom..","D4.13C.atom..","D5.13C.atom..","D1.d13","D2.d13","D3.d13","D4.d13","D5.d13","AG","BG","CBH","NAG","PHOS","LAP","MBC.mg.C.g.1.dry.soil","MBN.mg.N.g.1.dry.soil","DOC..mg.C.g.1.dry.soil.","DON..mg.N.g.1.dry.soil.","pH","peat.C.N","root.biomass","enzyNut","enzyC"
1,3,"label",2015,8.5,1.5,NA,0.3,6.611912107,128.55,3.822988998,2.060711313,4.50579352,5.985444141,1.16548,1.1536,1.19907,1.31005,1.34077,54.74,43.85,85.5,187.31,215.52,34.50775486,1244.757005,788.1119958,148.1552228,947.5388586,64.00964406,2.426659205,0.143636623,2.024622436,0.28685548,2.884438589,29.91235758,0,1159.70372546,2067.37675566
2,2,"label",2015,5,1.2,NA,0.6,4.62248996,89.87,4.180949094,4.461637714,3.168283279,5.872519898,1.12996,1.11373,1.11061,1.17054,1.16484,22.22,7.38,4.52,59.37,54.15,19.76057419,821.9279959,504.5865507,236.0202656,743.5715363,45.04026997,2.278197727,NA,1.583786036,NA,3.150904281,29.73823432,0,1024.63207187,1346.27512079
5,3,"label",2015,5,0.9,NA,0.3,3.128408699,60.82,6.603139746,3.81529233,4.484030535,3.996250306,1.17327,1.13321,1.1351,1.23611,1.17918,61.87,25.19,26.93,119.52,67.28,22.17431279,683.6257576,488.6990297,178.2891153,516.6172366,34.5500361,2.367921365,NA,2.005713766,NA,3.092651034,31.39438085,0,729.456388,1194.49910009
6,3,"label",2015,5,2.4,NA,0.3,4.237071801,82.38,8.411274094,12.10133083,5.84521138,6.055969085,1.22943,1.19671,1.19514,1.46488,1.38156,113.33,83.34,81.9,329.8,253.02,18.51885895,701.8154672,425.7725827,102.31977,472.6945872,44.26140159,4.080249808,4.766453685,1.531451817,13.89043232,3.180317312,29.18036368,0,619.27575879,1146.10690885
7,1,"control",2015,4.75,2.1,NA,0.3,4.825626824,93.82,5.134054751,4.5133921,5.614619976,7.628301041,1.09541,1.09211,1.09189,1.09632,1.09003,-9.38,-12.4,-12.6,-8.54,-14.3,18.6984116,647.6342451,435.2734454,242.0217123,568.7618672,37.89574321,3.445926671,-38.95746318,2.125479793,65.6182936,2.716727209,29.69912504,0,848.67932271,1101.6061021
8,1,"control",2015,5.25,1.8,NA,0.3,3.465839659,67.38,3.29180969,4.797746455,3.377903259,4.256097522,1.09279,1.0939,1.09587,1.10233,1.09412,-11.77,-10.76,-8.96,-3.05,-10.56,28.78061445,606.3351588,412.2413511,120.7971857,493.2752241,31.40843282,2.028966439,NA,2.165801495,NA,2.954306042,31.86018745,0,645.48084262,1047.35712435
9,3,"label",2015,3.75,2.1,NA,0.6,6.133035407,119.24,3.911454205,2.884766568,3.084739907,4.996062165,1.28485,1.23498,1.51447,1.44174,1.45156,164.16,118.41,375.42,308.4,317.44,55.04319412,1730.838227,1014.751661,394.1836006,1142.655598,58.26891463,4.143308104,7.287802906,1.870104732,11.59314775,3.046403726,30.50466327,0,1595.10811323,2800.63308212
10,2,"control",2015,4.75,1.5,NA,0.6,2.925888472,56.89,5.071553894,6.735035544,3.125311287,4.2296896,1.09732,1.09578,1.09629,1.09873,1.10096,-7.63,-9.04,-8.58,-6.35,-4.31,32.51005452,678.838739,506.324743,262.3802529,471.43594,33.95404038,2.078275775,2.881425361,2.139341054,35.21453791,2.883474229,29.57375586,0,767.77023328,1217.67353652
11,2,"control",2015,3.5,1.5,NA,0.3,2.301790654,44.75,0.988193619,1.640863804,0.446855139,1.261462287,1.09338,1.09478,1.09607,1.09443,1.09647,-11.24,-9.96,-8.78,-10.28,-8.41,25.90928454,494.4558374,355.9154058,182.6374878,336.5614091,26.26848122,1.644860365,NA,2.234394941,NA,2.999820502,34.59464689,0,545.46737812,876.28052774
12,3,"control",2015,5,1.8,NA,0.6,2.763874486,53.74,2.956286243,2.08020816,1.796757343,0.926936864,1.09407,1.09328,1.09497,1.09407,1.09609,-10.61,-11.33,-9.78,-10.54,-8.76,8.483218221,426.0459465,290.4870676,125.1383874,349.373064,24.25218713,1.920800183,26.66328045,2.221376252,49.79590846,3.016453949,28.74128896,0,498.76363853,725.016232321
13,2,"label",2015,4.5,1.5,NA,0.3,2.945695027,57.27,3.293333956,5.097891033,1.476868075,1.511431692,1.18906,1.18829,1.17348,1.30308,1.4103,76.33,75.62,62.06,180.9,279.46,20.50087715,642.8862156,425.654709,158.1395062,422.2084414,34.03194662,2.008894916,8.344249371,2.127967799,48.80490396,3.107370363,29.16400108,0,614.37989422,1089.04180175
14,2,"control",2015,4.5,2.1,NA,0.3,2.760522142,53.67,3.244888819,7.393529665,2.610812848,3.309181373,1.09396,1.0957,1.09626,1.10155,1.10361,-10.7,-9.11,-8.6,-3.76,-1.88,4.573068668,339.1991697,228.9995702,90.60885232,309.8943558,22.10918498,1.809277803,NA,1.876682303,NA,3.042168079,31.75070112,0,422.6123931,572.771808568
16,1,"label",2015,9,1.2,NA,0.3,2.928539685,56.94,4.949895614,6.258267497,5.892133054,7.499851388,1.09992,1.09717,1.09623,1.10338,1.09997,-5.25,-7.77,-8.63,-2.03,-5.21,17.45856731,327.5081573,268.1992529,115.3401019,281.769383,18.8262748,2.344159815,-8.003268395,2.162055639,84.7015702,2.978725182,29.33508599,0,415.9357597,613.16597751
17,3,"label",2015,3.5,0.6,NA,0.3,3.067729997,59.64,8.077309613,4.409183816,3.208859978,5.122515878,1.16691,1.15528,1.13813,1.27608,1.20537,56.04,45.39,29.7,156.19,91.27,17.38317062,490.587793,334.6070822,136.3993384,426.0269561,29.67320045,2.172200494,-48.90772143,2.213323061,131.1152485,3.230645001,31.50126308,0,592.09949495,842.57804582
20,1,"control",2015,5.25,0.3,NA,0.3,2.686697724,52.24,1.709185978,1.886403456,2.607062396,2.823155216,1.09805,1.09492,1.09976,1.09726,1.11072,-6.96,-9.83,-5.4,-7.69,4.62,15.55696174,389.0883673,106.0671398,163.457701,365.2787282,32.89791609,2.066380698,34.52681374,2.229128376,99.55999249,3.369041392,29.65912852,0,561.63434529,510.71246884
21,3,"control",2015,4,1.2,NA,0.3,2.559392631,49.76,2.135561052,2.733441472,1.468460754,2.094588172,1.09682,1.09417,1.09652,1.09547,1.09852,-8.09,-10.52,-8.37,-9.33,-6.54,22.67815319,377.6157179,249.7947349,111.2372239,249.1527162,15.06903274,2.015043623,16.78990994,1.972438012,109.8219564,3.195103975,29.56925954,0,375.45897284,650.08860599
22,3,"control",2015,2.25,0.9,NA,0.3,2.761586226,53.69,2.918581501,1.773614555,1.478973101,2.130637331,1.09374,1.09549,1.09782,1.09681,1.10021,-10.91,-9.31,-7.17,-8.1,-4.99,31.01658021,683.7377658,381.1303069,186.718606,391.2335553,31.00040312,2.033961716,NA,2.222928429,NA,3.026335042,29.72898077,0,608.95256442,1095.88465291
23,2,"label",2015,3.5,0.6,NA,0.6,4.533510661,88.14,5.130573487,2.82771537,4.183748557,3.640769574,1.18485,1.26706,1.28362,1.3631,1.3996,72.47,147.84,163.03,236.12,269.61,30.29791917,888.5235578,578.2037693,207.6718015,619.3984824,37.49249568,2.679895655,NA,1.701160899,NA,2.734292983,31.89271618,0,864.56277958,1497.02524627
