Core ID,treatment,carbon,Year,Depth (cm),Dist. Spruce (m),Dist. Tamarack (m),Dist. Blueberry (m),GWC,per. saturation,D1 CO2,D2 CO2,D3 CO2,D5 CO2,D1 13C atom %,D2 13C atom %,D3 13C atom %,D4 13C atom %,D5 13C atom %,D1 d13,D2 d13,D3 d13,D4 d13,D5 d13,AG,BG,CBH,NAG,PHOS,LAP,MBC mg C g-1 dry soil,MBN mg N g-1 dry soil,DOC (mg C g-1 dry soil),DON (mg N g-1 dry soil),pH,peat C:N,root biomass
35,3,control,2015,2.75,0.3,,0.3,2.536947642,49.32,2.032766996,1.388255879,1.752727714,1.798530137,1.09655,1.09301,1.09349,1.09537,1.09679,-8.34,-11.57,-11.13,-9.42,-8.11,26.19550248,516.4994847,334.5386456,127.9443868,360.8835439,22.24389652,1.246723795,,2.766220886,,2.98909588,30.52799166,0
36,1,label,2015,3.5,0.3,,0.6,2.601154377,50.57,2.079891946,1.541047047,2.119777074,2.373086479,1.12889,1.13553,1.13355,1.22237,1.22475,21.24,27.32,25.51,106.86,109.03,31.1256154,592.191211,421.3338518,161.4513589,422.6655245,29.18312383,2.605969334,,2.050687545,,3.028521796,30.45278212,0
37,2,label,2015,3.5,0.9,,0.3,3.280041183,63.77,5.377733495,4.669102748,2.694776389,1.568500029,1.15631,1.16641,1.15792,1.36028,1.27288,46.34,55.58,47.81,233.53,153.18,26.64316393,749.95129,504.0409257,130.0931748,514.4737824,39.12034842,2.335588449,,1.744323419,,3.054869657,30.54754061,0
38,3,label,2015,4.5,0.9,,0.3,2.882733294,56.05,2.432914399,1.294276348,2.180978777,2.819437263,1.21956,1.27251,1.1841,1.28954,1.36027,104.28,152.84,71.79,168.48,233.44,15.7681499,529.6111888,346.0624802,95.21409616,393.4636724,23.76641774,2.230745528,,2.024621912,,3.165312091,28.48171487,0
39,1,control,2015,5.25,1.5,,0.3,3.117488366,60.61,1.928597781,2.439073725,3.350047686,2.942244903,1.09597,1.0939,1.09406,1.09883,1.101,-8.87,-10.76,-10.61,-6.25,-4.27,30.59911934,694.6903939,504.7352212,123.8260162,442.6770403,25.05344337,2.994659972,,1.945631089,,3.101157609,30.73759111,0
40,1,label,2015,5.5,0.6,,0.3,3.171207768,61.66,2.980092663,1.697419177,1.702390607,1.963727538,1.17226,1.16686,1.13896,1.20435,1.1932,60.94,56,30.46,90.4,80.12,21.41304608,592.6251516,403.4391027,103.404598,445.3659353,29.81482812,1.658970221,32.60363531,2.312683862,147.2428459,3.013661435,29.66005979,0
41,1,control,2015,2.75,1.8,1.8,0.6,2.941222265,57.18,6.77208471,3.383237103,4.7798587,4.777701191,1.09258,1.09313,1.09008,1.09309,1.0946,-11.97,-11.46,-14.25,-11.44,-10.13,27.83479139,502.6731047,322.5577231,135.3806223,384.783932,27.062521,1.808264737,,2.212611549,,2.98509804,31.32465544,0
42,3,label,2015,4.5,1.8,1.8,0.3,2.826594676,54.96,2.969599968,1.712386913,1.92264644,3.470812097,1.18327,1.15071,1.16392,1.53289,1.35343,71.03,41.21,53.31,392.41,227.15,17.39606107,503.5416026,344.3747175,80.52097042,394.6923881,22.7441884,2.676938151,,1.962466825,,3.121966115,29.23148707,0
43,3,control,2015,2,1.5,1.5,0.3,3.173640929,61.7,7.216438777,1.406363405,2.835814806,2.669811913,1.09246,1.09401,1.09197,1.10039,1.09657,-12.07,-10.66,-12.52,-4.83,-8.32,23.31670609,566.5794719,426.4387703,96.81594564,431.6368504,27.2385657,2.446289941,,2.048534713,,3.066453949,29.42036207,0
44,3,control,2015,3.25,1.5,,10,3.242077402,63.03,3.405282001,2.310125661,6.58179734,4.64476674,1.09131,1.09329,1.09023,1.09239,1.0926,-13.13,-11.32,-14.12,-12.14,-11.95,22.16861978,606.0865828,402.2870374,112.4423994,472.2283628,26.53902159,2.407294424,-14.33681249,2.702517947,123.7558792,3.18536122,30.20855706,0
45,3,label,2015,3,1.8,,10,3.076415357,59.81,2.362278151,4.017280704,6.471923247,4.658714845,1.16395,1.13239,1.13585,1.28543,1.3137,53.33,24.45,27.61,164.77,190.65,28.43197926,500.7988956,342.3497516,94.19380842,347.9970444,21.98512308,2.467933764,,1.852152799,,3.126794976,28.9143971,0
46,2,control,2015,2.5,1.2,1.2,0.3,2.518349148,48.96,3.357914987,3.073567366,2.769393086,3.282398764,1.08958,1.09136,1.08866,1.0923,1.09256,-14.71,-13.08,-15.55,-12.23,-11.99,23.3603998,542.8284804,347.5599881,111.5108664,377.1850058,27.83410412,2.256732091,,2.311003203,,3.110516485,31.36254887,0
47,2,label,2015,2.75,0.6,0.6,0.3,2.489685512,48.41,3.977784571,3.014439169,2.424692484,4.203725277,1.14184,1.13412,1.12965,1.26018,1.21179,33.09,26.03,21.94,141.6,97.16,21.34271865,525.8445331,329.2628964,106.1605103,340.7258549,21.19686412,1.648767661,18.21511705,2.878029108,155.8005308,3.184975908,31.21165824,0
48,1,label,2015,3.5,0.9,0.9,0.3,2.475291282,48.13,4.034227431,3.182384334,3.05676143,4.113867545,1.14317,1.16151,1.13382,1.24104,1.21701,34.31,51.1,25.76,123.97,101.94,22.92663975,431.7158271,320.6455777,133.4786764,328.6721162,24.33055848,,47.84539496,,182.8252447,2.926877814,30.68325818,0
49,2,control,2015,1.75,0.6,,0.3,2.134199574,41.49,2.152189398,1.710700998,3.107114434,2.97605718,1.09083,1.09238,1.08966,1.0928,1.09279,-13.57,-12.15,-14.64,-11.76,-11.78,20.95642355,394.360747,278.9279004,67.6564666,282.6679811,17.59430898,2.008440646,30.72005047,2.118347361,173.8190135,3.119004616,31.23904082,0
50,1,control,2015,1.5,0.9,,0.6,2.44016297,47.44,2.968922701,2.258085621,3.189001591,2.967792548,1.08926,1.09174,1.08965,1.09045,1.09266,-15,-12.74,-14.65,-13.92,-11.89,34.68939062,557.872908,404.2161837,149.4485578,417.9058078,32.70410522,1.95645726,29.26761947,2.387319204,245.5826245,3.126453949,29.06924632,0
51,2,control,2015,3,0.9,,0.3,2.264961205,44.04,1.472861054,0.950159077,1.327596763,1.667378228,1.09055,1.0918,1.09064,1.08785,1.08992,-13.83,-12.68,-13.74,-16.29,-14.4,44.2880355,500.5562474,314.4466102,126.6134875,332.0922435,20.82813369,2.128859646,,2.372639894,,2.949596491,30.24098445,0
52,2,label,2015,4.75,1.2,,0.6,2.453052021,47.69,1.96701367,1.106250279,1.07901407,1.109554516,1.11765,1.10873,1.10698,1.16604,1.13338,10.95,2.8,1.2,55.25,25.35,24.30418793,522.2794293,364.5642462,89.99720176,366.0046754,19.3773224,0.433200242,95.31051705,4.011434174,221.8025621,3.140946196,30.11790715,0
53,1,label,2015,4.5,0.6,,0.3,2.62839045,51.1,2.8877193,0.9587395,1.057993658,1.180926421,1.13681,1.13403,1.11557,1.29099,1.17539,28.49,25.95,9.06,169.8,63.81,18.30615034,486.2226535,289.4315649,75.51024121,328.1060758,24.02601303,,-5.703142136,,241.1112884,3.28422877,35.32226046,0
54,1,label,2015,4.5,0.6,,0.6,2.769464489,53.85,5.39639168,1.856846876,1.50251597,1.863056095,1.13773,1.12796,1.11795,1.20817,1.18098,29.33,20.39,11.23,93.84,68.93,21.92863917,584.544563,374.7472536,82.89844495,426.5026694,27.91227361,2.206977528,,2.410264338,,3.075507266,33.46567463,0
55,1,label,2015,3.75,0.3,1.2,10,2.554816339,49.67,4.383159182,2.099494798,2.504493868,2.90703714,1.14734,1.12888,1.14241,1.24127,1.25272,38.13,21.23,33.61,124.25,134.69,22.89467575,479.8672449,300.7485638,82.35753499,351.6845374,24.01393942,,35.73271826,,257.3112729,3.161014244,31.81316399,0
56,1,control,2015,2,0.3,,10,4.120338921,80.11,2.848999794,1.666074006,1.785787585,3.622267642,1.09055,1.09212,1.09031,1.0896,1.09099,-13.82,-12.39,-14.04,-14.69,-13.42,32.01704964,635.6045292,465.5205482,124.1593761,450.7600988,35.34148266,,-224.8560303,,224.8560303,3.186526217,29.58165462,0
57,2,label,2015,3.5,0.9,,10,3.15193709,61.28,2.379971893,2.376745939,3.280595917,4.039389798,1.12733,1.13341,1.12001,1.18916,1.18052,19.82,25.38,13.12,76.42,68.5,10.67895703,484.3675143,340.8443919,74.38870546,330.4022889,23.61193387,1.913712907,-205.78131,1.972880212,205.78131,3.018725182,27.67686177,0
58,2,label,2015,4.5,0.3,,10,3.074024764,59.77,1.29291947,1.088576645,1.138842491,1.960451513,1.1428,1.19481,1.17312,1.28429,1.25953,33.97,81.6,61.73,163.73,140.93,31.08690907,580.125466,410.397695,99.75275635,415.8969578,38.5239852,,126.5901991,,234.7670878,3.101537458,29.34364848,0
59,2,control,2015,3,0.3,,10,2.590757069,50.37,0.878133129,0.98976105,0.839934392,1.817446706,1.10942,1.09581,1.09558,1.09853,1.09825,3.43,-9.02,-9.22,-6.47,-6.79,38.56013813,506.2899186,340.0073238,149.4708374,375.6527208,48.8718848,2.20874507,,2.374653537,,3.051166051,30.07103534,0
60,2,control,2015,3.5,0.3,,10,2.724983242,52.98,1.13382616,0.849804812,1.122813766,1.800389491,1.09277,1.09379,1.09039,1.08988,1.09081,-11.79,-10.86,-13.97,-14.44,-13.59,31.87492714,714.8070504,555.4699705,213.3852091,522.647632,21.86833899,1.317993097,55.8777183,2.845328165,245.9410003,3.321895474,28.20466786,0
